spring-1  | 2026-08-20T09:09:31.684261191Z {"@timestamp":"2026-08-20T09:09:31.682352744Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7055,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:29.763735Z","notificationRecordedAt":"2026-08-20T09:09:31.662163Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":1898,"processingDurationMs":19,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.713359674Z {"@timestamp":"2026-08-20T09:09:31.712894322Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7056,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:29.856969Z","notificationRecordedAt":"2026-08-20T09:09:31.687150Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":1830,"processingDurationMs":24,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.735753871Z {"@timestamp":"2026-08-20T09:09:31.735224438Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7057,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:30.093366Z","notificationRecordedAt":"2026-08-20T09:09:31.716536Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":1623,"processingDurationMs":17,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.757680051Z {"@timestamp":"2026-08-20T09:09:31.757233513Z","level":"INFO","requestId":"6ac46d55-90f3-4eb7-a7ee-cbd5a7fd1264","environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.770144812Z {"@timestamp":"2026-08-20T09:09:31.769616166Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7058,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:30.173109Z","notificationRecordedAt":"2026-08-20T09:09:31.738721Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":1565,"processingDurationMs":29,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.790284521Z {"@timestamp":"2026-08-20T09:09:31.789783985Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7059,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:30.289221Z","notificationRecordedAt":"2026-08-20T09:09:31.772115Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":1482,"processingDurationMs":16,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.809441300Z {"@timestamp":"2026-08-20T09:09:31.808966143Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7060,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:30.374793Z","notificationRecordedAt":"2026-08-20T09:09:31.792502Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":1417,"processingDurationMs":15,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.828790776Z {"@timestamp":"2026-08-20T09:09:31.828287065Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7061,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:30.525068Z","notificationRecordedAt":"2026-08-20T09:09:31.811682Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":1286,"processingDurationMs":14,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.852688073Z {"@timestamp":"2026-08-20T09:09:31.852201322Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7062,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:30.642444Z","notificationRecordedAt":"2026-08-20T09:09:31.831071Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":1188,"processingDurationMs":19,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
spring-1  | 2026-08-20T09:09:31.878628907Z {"@timestamp":"2026-08-20T09:09:31.87813738Z","level":"INFO","event":"notification_outbox_relay_event_processed","sourceEventId":7063,"eventType":"WAITLIST_PROMOTED","recipientCount":1,"outboxRecordedAt":"2026-08-20T09:09:30.760618Z","notificationRecordedAt":"2026-08-20T09:09:31.855052Z","failureCount":0,"totalFailureCount":0,"reprocessCount":0,"deliveryDelayMs":1094,"processingDurationMs":18,"environment":"performance","stackId":"perf-jiwon","service":"albam-mate","role":"app2","instanceId":"i-0c47f2ed01a613573","release":"fd7016efb74c6a8b8cb9b2d777f824e1a67e30cb"}
